메모,내역,금액,유형,날짜
,상훈b와 순대국,18000,교제비,2022년 11월 4일
,점심,8000,식비,2022년 11월 4일
,교통비,74900,생활비,2022년 11월 3일
,간식,3000,비상금,2022년 11월 2일
,점심,10000,식비,2022년 11월 2일
,호빵,16900,비상금,2022년 11월 1일
,비오틴,33480,비상금,2022년 11월 1일
,빵,10000,비상금,2022년 10월 31일
,안경,77600,비상금,2022년 10월 29일
,간식,8700,비상금,2022년 10월 28일
,치킨,21340,전도비,2022년 10월 28일
,저녁,2500,비상금,2022년 10월 28일
,점심,12000,식비,2022년 10월 28일
,점심,12500,식비,2022년 10월 27일
,구역회비,10000,교제비,2022년 10월 27일
,청년회비,10000,교제비,2022년 10월 27일
,찬양대 회비,10000,교제비,2022년 10월 27일
,주일헌금,20000,헌금,2022년 10월 27일
,십일조,216666,헌금,2022년 10월 27일
,레슨비,40000,생활비,2022년 10월 27일
,어머니,500000,생활비,2022년 10월 27일
,점심,6000,식비,2022년 10월 26일
,노션 1년치,71162,생활비,2022년 10월 26일
,점심,10000,식비,2022년 10월 25일
,머리,12000,생활비,2022년 10월 24일
,점심,7800,식비,2022년 10월 24일
,통신비,49140,생활비,2022년 10월 23일
,작은누나 생일,29900,교제비,2022년 10월 22일
,치킨,25220,전도비,2022년 10월 21일
,점심,10000,식비,2022년 10월 21일
,미상,24300,비상금,2022년 10월 20일
,택시,5400,비상금,2022년 10월 20일
,형제님과 간식,4800,교제비,2022년 10월 19일
,어머니 병원,79430,비상금,2022년 10월 17일
,점심,10000,식비,2022년 10월 17일
,편의점,2000,비상금,2022년 10월 16일
,택시,6400,비상금,2022년 10월 16일
,친구초대의날,15310,전도비,2022년 10월 16일
,박진영,15800,전도비,2022년 10월 14일
,렌슨 선생님 간식,5900,전도비,2022년 10월 14일
,승준이 커피,3800,전도비,2022년 10월 14일
,점심,9500,식비,2022년 10월 14일
,점심,7800,식비,2022년 10월 13일
,점심,10000,식비,2022년 10월 12일
,저녁,3500,비상금,2022년 10월 12일
,원석 b 커피,13500,교제비,2022년 10월 12일
,대헌이와 돈까스,30410,전도비,2022년 10월 11일
,점심,9000,식비,2022년 10월 11일
,택시,6000,비상금,2022년 10월 9일
,병원,26000,생활비,2022년 10월 8일
,점심,8200,비상금,2022년 10월 8일
,가습기,37000,비상금,2022년 10월 7일
,승준이 커피,3500,전도비,2022년 10월 7일
,렌슨선생님 간식,2950,전도비,2022년 10월 7일
,점심,1800,식비,2022년 10월 7일
,형제와 간식,8700,교제비,2022년 10월 6일
,점심,7800,식비,2022년 10월 6일
,교통비,39700,생활비,2022년 10월 6일
,아이들 용돈,50000,전도비,2022년 10월 5일
,간식,4000,비상금,2022년 10월 5일
,아이들 간식,9000,전도비,2022년 10월 5일
,보험,23560,생활비,2022년 10월 5일
,점심,10000,식비,2022년 10월 5일
,간식,7400,비상금,2022년 10월 4일
,점심,12500,식비,2022년 10월 4일
,승준이 커피,3800,전도비,2022년 10월 3일
,레슨선생님 간식,3000,전도비,2022년 10월 3일
,형제와 저녁,18000,교제비,2022년 10월 3일
,현금인출,30900,생활비,2022년 10월 2일
,대헌이 용돈,30000,전도비,2022년 10월 2일
,,,,2022년 10월 1일
,택시2,6800,비상금,2022년 10월 1일
,"심민영, 심가영 자매님 축의금",100000,교제비,2022년 10월 1일
,택시,6500,비상금,2022년 10월 1일
,출금 수수료,700,비상금,2022년 10월 1일
,택시,5700,비상금,2022년 9월 30일
,커피,11500,교제비,2022년 9월 29일
